2021-02-10 13-54-01 | Initializing librouter...
2021-02-10 13-54-01 | Getting modules...
2021-02-10 13-54-01 | Loading settings...
2021-02-10 13-54-01 | Loading pairs...
2021-02-10 13-54-01 | Loading filter rules...
2021-02-10 13-54-01 | *** LoadFilterRules: No rules loaded
2021-02-10 13-54-01 | Loading IP exclusions...
2021-02-10 13-54-01 | Setting up user interface...
2021-02-10 13-54-01 | Loading port list...
2021-02-10 13-54-02 | Loading IP range list...
2021-02-10 13-54-02 | Initialization done
2021-02-10 13-54-26 | Closing, saving settings...
2021-02-10 13-54-28 | Normal program termination
